/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 3jefrwac
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_035423-3jefrwac
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g5-temporal__42__1781488463
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/3jefrwac
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g5-temporal', wandb_entity=None)
step 1958 	 return [0.00305984 0.00272469 0.00434659 0.00460613 0.00192138], ([0.00182158 0.00257357 0.0037345  0.00483673 0.00277734]) 	 loss 1.936E+00 	 horizons 19.0
step 2148 	 return [0.00229682 0.00290457 0.00285614 0.00366763 0.00198078], ([0.00194967 0.00229464 0.00213521 0.00355585 0.00207646]) 	 loss 1.417E+00 	 horizons 19.0
step 2338 	 return [0.00111683 0.00649095 0.00452127 0.00499011 0.00322837], ([0.00267107 0.00247336 0.00183077 0.00249517 0.00166498]) 	 loss 1.064E+00 	 horizons 19.0
step 2528 	 return [0.00459998 0.0032239  0.00288464 0.0021047  0.00114621], ([0.00330759 0.00113548 0.00199876 0.00173649 0.00193233]) 	 loss 9.998E-01 	 horizons 19.0
step 2718 	 return [0.00014783 0.00599887 0.00585629 0.00702399 0.00384947], ([0.00029694 0.00230321 0.00122336 0.00384729 0.00204333]) 	 loss 9.177E-01 	 horizons 19.0
step 2908 	 return [0.00278135 0.00547978 0.00432743 0.00430929 0.00210572], ([0.00324483 0.00187855 0.00278461 0.00297487 0.00250981]) 	 loss 8.878E-01 	 horizons 19.0
step 3098 	 return [0.00219835 0.00442581 0.0043922  0.00496409 0.00271639], ([0.00316701 0.00223789 0.00164919 0.00363397 0.00229367]) 	 loss 8.576E-01 	 horizons 19.0
step 3288 	 return [0.00248948 0.00222679 0.00280196 0.00457649 0.00173793], ([0.00243488 0.0018117  0.00185297 0.00353212 0.0017802 ]) 	 loss 8.414E-01 	 horizons 19.0
step 3478 	 return [0.00361471 0.00578473 0.00410381 0.00436734 0.00202523], ([0.00368083 0.00226375 0.00156384 0.00335427 0.00182355]) 	 loss 8.468E-01 	 horizons 19.0
step 3668 	 return [0.0015247  0.00438833 0.00523001 0.00690244 0.00396172], ([0.00318353 0.00179544 0.00160645 0.00477901 0.00302563]) 	 loss 8.084E-01 	 horizons 19.0
step 3858 	 return [0.00166476 0.00326557 0.00535611 0.00736531 0.00398957], ([0.00282102 0.00220128 0.0016696  0.00328239 0.00339007]) 	 loss 8.100E-01 	 horizons 19.0
step 4048 	 return [0.00270727 0.00337693 0.00401423 0.00241022 0.00272675], ([0.00379588 0.00159685 0.00143441 0.00194578 0.00246545]) 	 loss 7.980E-01 	 horizons 19.0
step 4238 	 return [0.00233245 0.00419928 0.00426194 0.00527025 0.00406553], ([0.00370399 0.00099598 0.00141888 0.00433323 0.00335154]) 	 loss 8.183E-01 	 horizons 19.0
step 4428 	 return [0.00137288 0.00389676 0.00404615 0.00783076 0.00455867], ([0.0017064  0.0023494  0.00245431 0.00363867 0.00343995]) 	 loss 7.754E-01 	 horizons 19.0
step 4618 	 return [0.00163118 0.00486632 0.00425925 0.00643065 0.0034332 ], ([0.00162005 0.00243356 0.00144539 0.0022926  0.00163665]) 	 loss 7.932E-01 	 horizons 19.0
step 4808 	 return [0.00195321 0.00411151 0.00514833 0.00691628 0.00407508], ([0.0032673  0.00161512 0.00130712 0.00348529 0.00264692]) 	 loss 7.979E-01 	 horizons 19.0
step 4998 	 return [0.00127973 0.00574042 0.00472551 0.00652421 0.00333931], ([0.00168023 0.00323533 0.0015936  0.00330477 0.00189732]) 	 loss 7.791E-01 	 horizons 19.0
step 5188 	 return [0.00711517 0.00521816 0.00443629 0.0031171  0.00101646], ([0.00323194 0.00240224 0.00155117 0.00276798 0.00203189]) 	 loss 7.850E-01 	 horizons 19.0
step 5378 	 return [0.00149995 0.00277744 0.00333772 0.0047183  0.00441778], ([0.00179743 0.00202674 0.00113708 0.00288545 0.0021452 ]) 	 loss 7.390E-01 	 horizons 19.0
step 5568 	 return [0.00062674 0.00583729 0.00626774 0.00936237 0.00486189], ([0.00103461 0.00240209 0.00183183 0.00370018 0.00194134]) 	 loss 8.048E-01 	 horizons 19.0
step 5758 	 return [0.00199628 0.00403441 0.00552329 0.00603135 0.00416176], ([0.0018479  0.00187945 0.001609   0.00310911 0.00212182]) 	 loss 7.842E-01 	 horizons 19.0
step 5948 	 return [0.0065631  0.0051733  0.00441395 0.00265475 0.0020057 ], ([0.00394558 0.00200445 0.00328151 0.00371897 0.00332882]) 	 loss 8.053E-01 	 horizons 19.0
step 6138 	 return [0.00182519 0.00530513 0.00639151 0.00751692 0.00477163], ([0.00231118 0.00179901 0.0025021  0.0043662  0.0037459 ]) 	 loss 7.493E-01 	 horizons 19.0
step 6328 	 return [0.0007458  0.00459975 0.00467504 0.00639128 0.00404298], ([0.00119639 0.00157574 0.0019461  0.00222    0.00197207]) 	 loss 7.398E-01 	 horizons 19.0
step 6518 	 return [0.00090769 0.00574661 0.00455276 0.00830621 0.00350573], ([0.00164668 0.00264641 0.00164183 0.00246054 0.00099378]) 	 loss 7.346E-01 	 horizons 19.0
step 6708 	 return [0.00631559 0.00799579 0.00561801 0.0048821  0.00153527], ([0.00381142 0.00182565 0.00250473 0.00423122 0.00244506]) 	 loss 7.220E-01 	 horizons 19.0
step 6898 	 return [0.00300949 0.00570868 0.00490356 0.00582027 0.00350798], ([0.00306604 0.0020614  0.00210664 0.00413975 0.00299845]) 	 loss 7.147E-01 	 horizons 19.0
step 7088 	 return [0.00099439 0.00683697 0.00564693 0.00708817 0.00457234], ([0.00168866 0.00260317 0.00163321 0.00356418 0.00159222]) 	 loss 7.105E-01 	 horizons 19.0
step 7278 	 return [0.00217441 0.00589861 0.00555995 0.00770182 0.00510848], ([0.00210549 0.00242637 0.00158767 0.00458982 0.00206733]) 	 loss 7.075E-01 	 horizons 19.0
step 7468 	 return [0.00719671 0.0064598  0.00609824 0.00565616 0.00154716], ([0.00239528 0.00333038 0.00277858 0.00378443 0.00239287]) 	 loss 6.929E-01 	 horizons 19.0
step 7658 	 return [0.00073382 0.00737289 0.00622673 0.00958208 0.00418936], ([0.0013657  0.00217318 0.00186365 0.00449436 0.00240979]) 	 loss 6.666E-01 	 horizons 19.0
step 7848 	 return [0.00127862 0.00520085 0.00475215 0.00337965 0.00337547], ([0.00207504 0.00335443 0.00147943 0.0033318  0.00196554]) 	 loss 6.619E-01 	 horizons 19.0
step 8038 	 return [0.00576606 0.00836704 0.00540807 0.00314621 0.        ], ([0.00317612 0.00175704 0.00183997 0.00136893 0.        ]) 	 loss 6.447E-01 	 horizons 19.0
step 8228 	 return [0.00146494 0.00828282 0.00638918 0.00950801 0.00470673], ([0.00219268 0.00212526 0.00233269 0.00443239 0.00306993]) 	 loss 6.409E-01 	 horizons 19.0
