/home/SinJ/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/SinJ/.netrc.
wandb: Currently logged in as: jingyuan-sun03 (jingyuan-sun03-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run z5b16j0q
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /home/SinJ/mo-transport-network-design/wandb/run-20260615_035426-z5b16j0q
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-g5-temporal__456__1781488466
wandb: ⭐️ View project at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/jingyuan-sun03-tu-delft/cl_ablation/runs/z5b16j0q
/home/SinJ/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=19, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=10, num_policies=10, max_buffer_size=200, nr_layers=1, hidden_dim=128, timesteps=30000, no_log=False, seed=456, cd_threshold=0.2, distance_ref='interpolate2', gcn_lambda=0.0, lambda_schedule='cosine', lambda_start=1.0, lambda_end=0.0, lambda_warmup_fraction=0.1, lambda_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='lorenz', nash_mode='pareto_sized', nash_top_k=None, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-g5-temporal', wandb_entity=None)
step 2000 	 return [0.00261868 0.00712488 0.00510649 0.00653821 0.00345237], ([0.00290683 0.00268728 0.00246816 0.00377408 0.00245064]) 	 loss 1.893E+00 	 horizons 19.0
step 2190 	 return [0.00251593 0.00335489 0.0042509  0.00479983 0.0032141 ], ([0.00234595 0.0029929  0.00301558 0.00402707 0.00294769]) 	 loss 1.553E+00 	 horizons 19.0
step 2372 	 return [0.00191638 0.0029245  0.00349625 0.00326062 0.00171822], ([0.00120883 0.00230135 0.00267785 0.00318743 0.00239005]) 	 loss 1.152E+00 	 horizons 18.2
step 2558 	 return [0.00304723 0.00318569 0.00216327 0.00264408 0.00100064], ([0.00200999 0.00412174 0.00189359 0.00387734 0.0022399 ]) 	 loss 1.019E+00 	 horizons 18.6
step 2748 	 return [0.0035893  0.00385323 0.00260133 0.00280395 0.00212179], ([0.00209215 0.00215099 0.00240498 0.00348281 0.00262983]) 	 loss 9.637E-01 	 horizons 19.0
step 2938 	 return [0.00308168 0.00461552 0.00398995 0.00413433 0.00301647], ([0.00288286 0.00182679 0.00225342 0.0043648  0.00252257]) 	 loss 9.136E-01 	 horizons 19.0
step 3128 	 return [0.00128381 0.00665831 0.00556869 0.00521033 0.00495249], ([0.001542   0.00228533 0.00243221 0.00347204 0.00256767]) 	 loss 8.740E-01 	 horizons 19.0
step 3318 	 return [0.00365332 0.00406754 0.00370652 0.00348699 0.00230118], ([0.0040181  0.00175908 0.00165349 0.00288412 0.00279454]) 	 loss 8.638E-01 	 horizons 19.0
step 3508 	 return [0.00280995 0.00114811 0.00258067 0.00214729 0.00160181], ([0.00150839 0.00134146 0.0021528  0.0032539  0.00327314]) 	 loss 8.337E-01 	 horizons 19.0
step 3698 	 return [0.00346492 0.00512611 0.00420263 0.00500925 0.00210623], ([0.00382603 0.00241039 0.00341734 0.0051671  0.00239137]) 	 loss 8.374E-01 	 horizons 19.0
step 3888 	 return [0.00169129 0.00586453 0.00497631 0.00508793 0.0036299 ], ([0.0025907  0.00272204 0.00192232 0.00348045 0.00373176]) 	 loss 8.217E-01 	 horizons 19.0
step 4078 	 return [0.00077266 0.00507    0.00445631 0.00292852 0.00364708], ([0.00191628 0.00145585 0.0017479  0.00335813 0.00193394]) 	 loss 7.998E-01 	 horizons 19.0
