/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/.venv/lib/python3.13/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/johnario/.netrc.
wandb: Currently logged in as: johnario (johnario-tu-delft) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 0gq17bte
wandb: Tracking run with wandb version 0.27.2
wandb: Run data is saved locally in /data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/wandb/run-20260615_141328-0gq17bte
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run motndp_xian-v0__GCN-xian-filter__42__1781525608
wandb: ⭐️ View project at https://wandb.ai/johnario-tu-delft/cl_ablation
wandb: 🚀 View run at https://wandb.ai/johnario-tu-delft/cl_ablation/runs/0gq17bte
/data/Projects/Assignment for DSAIT/ResearchIDM/mo-transport-network-design/morl-baselines/morl_baselines/multi_policy/gcn/gcn.py:151: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  th.tensor(obs).to(self.device),
wandb: WARNING Artifact "run-0gq17bte-evalfront-PWz_2Q" already exists with the same content. No new version will be created.
wandb: WARNING Artifact "run-0gq17bte-evalfront-PWz_2Q" already exists with the same content. No new version will be created.
Namespace(env='xian', nr_groups=5, starting_loc_x=9, starting_loc_y=9, nr_stations=20, lr=0.01, batch_size=256, num_er_episodes=100, num_step_episodes=10, num_model_updates=5, num_policies=10, max_buffer_size=100, nr_layers=1, hidden_dim=64, timesteps=30000, no_log=False, seed=42, cd_threshold=0.2, distance_ref='nondominated', lcn_lambda=None, scheduling_method='constant', schedule_start=1.0, schedule_end=None, scheduler_warmup_fraction=0.0, scheduler_freeze_fraction=0.1, spatial_alpha=0.0, include_demand_context=False, criterion='nash', nash_mode='pareto_filter', nash_top_k=30, nash_shift=0.0, project_name='cl_ablation', experiment_name='GCN-xian-filter', wandb_entity='johnario-tu-delft')
step 1918 	 return [0.00206517 0.00347292 0.0044306  0.00176491 0.00108341], ([0.0022257  0.00274386 0.0046716  0.00173259 0.00180631]) 	 loss 2.012E+00 	 horizons 18.7
step 2090 	 return [0.0020422  0.00228878 0.00218546 0.00212564 0.00193673], ([0.00383151 0.00377912 0.00294518 0.00257841 0.00277443]) 	 loss 1.910E+00 	 horizons 17.2
step 2280 	 return [0.00158369 0.00270831 0.00655551 0.00478836 0.005631  ], ([0.00148176 0.00231364 0.00353706 0.00236643 0.00313588]) 	 loss 1.798E+00 	 horizons 19.0
step 2468 	 return [0.00252714 0.00397206 0.00412297 0.00208329 0.00298113], ([0.00256643 0.00447382 0.00375738 0.00271299 0.00373983]) 	 loss 1.518E+00 	 horizons 18.8
step 2658 	 return [0.00148848 0.00287482 0.00377502 0.00362589 0.00291623], ([0.00221305 0.00227054 0.00353831 0.0026129  0.00240709]) 	 loss 1.330E+00 	 horizons 19.0
step 2848 	 return [0.00198425 0.00285383 0.00339051 0.00254106 0.00288458], ([0.00256901 0.00270611 0.00256705 0.00138349 0.00199248]) 	 loss 1.109E+00 	 horizons 19.0
step 3038 	 return [0.00126848 0.00394388 0.004769   0.00464885 0.00261575], ([0.00138063 0.00252721 0.00390088 0.0031548  0.00264259]) 	 loss 1.035E+00 	 horizons 19.0
step 3228 	 return [0.00070588 0.00325845 0.0036885  0.0051874  0.00413888], ([0.00120131 0.00385722 0.00291006 0.0020622  0.00324177]) 	 loss 9.782E-01 	 horizons 19.0
step 3418 	 return [0.00361881 0.00627856 0.00517611 0.00376273 0.00173857], ([0.00296676 0.00438448 0.00311815 0.00234686 0.00292263]) 	 loss 9.448E-01 	 horizons 19.0
step 3608 	 return [0.00192168 0.00142205 0.00285222 0.00430412 0.00434659], ([0.00151547 0.00201458 0.00244119 0.00146718 0.00127464]) 	 loss 9.238E-01 	 horizons 19.0
step 3798 	 return [0.00116399 0.00263335 0.00288376 0.00457775 0.004623  ], ([0.00082728 0.00139255 0.00178634 0.00238052 0.00225614]) 	 loss 8.778E-01 	 horizons 19.0
step 3988 	 return [0.00532385 0.00634125 0.00570946 0.00294395 0.00204568], ([0.00421677 0.00276471 0.00402591 0.0025559  0.00357979]) 	 loss 8.649E-01 	 horizons 19.0
step 4178 	 return [0.00521939 0.00558822 0.00639001 0.0032886  0.00324677], ([0.00246019 0.00203152 0.00350553 0.0026499  0.00357423]) 	 loss 8.271E-01 	 horizons 19.0
step 4368 	 return [0.00096646 0.00271856 0.00322951 0.00515263 0.00454378], ([0.00116225 0.00230444 0.00153477 0.00176971 0.00253358]) 	 loss 8.424E-01 	 horizons 19.0
step 4558 	 return [0.00139076 0.004035   0.01043532 0.00366268 0.00574355], ([0.00110431 0.00182463 0.00355687 0.0025259  0.00290699]) 	 loss 7.897E-01 	 horizons 19.0
step 4748 	 return [0.00229817 0.00481922 0.00771618 0.00468    0.00515973], ([0.00180866 0.00332839 0.00265205 0.0019847  0.00311411]) 	 loss 8.232E-01 	 horizons 19.0
step 4938 	 return [0.00751427 0.0098209  0.0056016  0.0019296  0.00047305], ([0.00314643 0.00265183 0.00326671 0.00176723 0.00113999]) 	 loss 8.725E-01 	 horizons 19.0
step 5128 	 return [0.00393369 0.00539322 0.00586003 0.00415995 0.00533602], ([0.00330371 0.00252642 0.00280077 0.00263565 0.00382586]) 	 loss 7.995E-01 	 horizons 19.0
step 5318 	 return [0.00210768 0.00396602 0.00716182 0.00393421 0.0050679 ], ([0.00234222 0.00184809 0.00176129 0.00259781 0.00244172]) 	 loss 7.941E-01 	 horizons 19.0
step 5508 	 return [0.00232348 0.00539735 0.00719343 0.00423046 0.00345566], ([0.00255792 0.0025567  0.00297227 0.0026022  0.0034301 ]) 	 loss 8.206E-01 	 horizons 19.0
step 5698 	 return [0.00162121 0.00639998 0.00696959 0.00521179 0.00375141], ([0.00109696 0.00282477 0.00207317 0.00294378 0.00252474]) 	 loss 8.037E-01 	 horizons 19.0
step 5888 	 return [0.00378922 0.00598389 0.00622982 0.00275752 0.0042818 ], ([0.00363431 0.00265644 0.00336113 0.00238868 0.0035301 ]) 	 loss 7.960E-01 	 horizons 19.0
step 6078 	 return [0.00130552 0.00333915 0.00805456 0.00609515 0.00845552], ([0.00132399 0.00171708 0.00362029 0.00297768 0.0030826 ]) 	 loss 8.004E-01 	 horizons 19.0
step 6268 	 return [0.00551597 0.0075094  0.00621071 0.00373841 0.00126985], ([0.00371663 0.00435677 0.00328382 0.0025593  0.00231926]) 	 loss 7.955E-01 	 horizons 19.0
step 6458 	 return [0.0005474  0.00354107 0.00785904 0.00566199 0.00583905], ([0.00098967 0.00206666 0.00354282 0.00213226 0.00305754]) 	 loss 7.779E-01 	 horizons 19.0
step 6648 	 return [0.0012898  0.00284994 0.00665382 0.00404075 0.00615003], ([0.00136329 0.00200691 0.00275151 0.00188389 0.00261401]) 	 loss 7.946E-01 	 horizons 19.0
step 6838 	 return [0.00138527 0.00424027 0.01017673 0.00466061 0.00585024], ([0.00141258 0.00197959 0.00257312 0.00274348 0.00306704]) 	 loss 7.578E-01 	 horizons 19.0
step 7028 	 return [0.00250765 0.00574879 0.00657374 0.00370578 0.00598421], ([0.00155218 0.00262008 0.00290048 0.00207739 0.0031367 ]) 	 loss 7.709E-01 	 horizons 19.0
step 7218 	 return [0.00149662 0.00570487 0.00740071 0.00479907 0.00533669], ([0.00146234 0.00184709 0.0033221  0.00202836 0.00310985]) 	 loss 7.307E-01 	 horizons 19.0
step 7408 	 return [0.00220862 0.00483222 0.00797643 0.00557733 0.00591109], ([0.00132733 0.00212744 0.00300597 0.00247181 0.00328085]) 	 loss 7.441E-01 	 horizons 19.0
