nohup: ignoring input
Launching 80 runs (15 GCN configs + PCN) x 5 seeds, PAR=12
[03:35:19] start nd_789
[03:35:19] start pareto_456
[03:35:19] start pareto_42
[03:35:19] start nd_42
[03:35:19] start nd_1011
[03:35:19] start nd_123
[03:35:19] start nash_123
[03:35:19] start nd_456
[03:35:19] start pareto_123
[03:35:19] start nash_42
[03:35:19] start pareto_1011
[03:35:19] start pareto_789
[08:52:17] done  pareto_789
[08:52:18] done  pareto_123
[08:53:09] done  nd_789
[08:53:30] done  pareto_456
[08:54:03] done  nd_123
[08:54:10] done  pareto_42
[08:54:21] done  nash_42
[08:54:26] done  nd_42
[08:54:29] done  nash_123
[08:54:35] done  nd_456
[08:54:39] done  pareto_1011
[08:54:44] done  nd_1011
[08:54:44] start nash_456
[08:54:44] start nash_789
[08:54:44] start nash_1011
[08:54:44] start i2_l0_123
[08:54:44] start i2_l0_42
[08:54:44] start i2_l0_456
[08:54:44] start i2_l0_789
[08:54:44] start i2_l05_42
[08:54:44] start i2_l05_123
[08:54:44] start i2_l0_1011
[08:54:44] start i2_l05_456
[08:54:44] start i2_l05_789
[14:14:25] done  i2_l05_123
[14:14:27] done  nash_456
[14:14:33] done  i2_l0_42
[14:14:39] done  i2_l0_123
[14:15:02] done  i2_l0_789
[14:15:07] done  i2_l05_789
[14:15:13] done  i2_l0_456
[14:15:27] done  nash_1011
[14:15:29] done  i2_l05_456
[14:15:30] done  i2_l05_42
[14:15:39] done  i2_l0_1011
[14:15:47] done  nash_789
[14:15:47] start i2_l05_1011
[14:15:47] start i2_l1_123
[14:15:47] start i2_l1_42
[14:15:47] start i2_l1_456
[14:15:47] start i2_l1_789
[14:15:47] start i2_spatial_42
[14:15:47] start i2_l1_1011
[14:15:47] start i2_spatial_456
[14:15:47] start i2_spatial_123
[14:15:47] start i2_spatial_789
[14:15:47] start i2_spatial_1011
[14:15:47] start i2_curriculum_42
